"State","Date","Shortage","Supply","Demand","Param1","Param2","Param3"
"New Hampshire",2020-04-16,-84,107,23,1000,1000,1000
"New Jersey",2020-04-16,1065,751,1816,1000,1000,1000
"New Mexico",2020-04-16,-168.5,186.5,18,1000,1000,1000
"New York",2020-04-16,1462,2262,3724,1000,1000,1000
"North Carolina",2020-04-16,-874,980,106,1000,1000,1000
"North Dakota",2020-04-16,-89,102,13,1000,1000,1000
"Ohio",2020-04-16,-1240.5,1382.5,142,1000,1000,1000
"Oklahoma",2020-04-16,-342.5,390.5,48,1000,1000,1000
"Oregon",2020-04-16,-249,277,28,1000,1000,1000
"Pennsylvania",2020-04-16,-738.5,1518.5,780,1000,1000,1000
"Rhode Island",2020-04-16,-61.5,98.5,37,1000,1000,1000
"South Carolina",2020-04-16,-419,528,109,1000,1000,1000
"South Dakota",2020-04-16,-68,81,13,1000,1000,1000
"Tennessee",2020-04-16,-679,816,137,1000,1000,1000
"Texas",2020-04-16,-2784.5,3124.5,340,1000,1000,1000
"Utah",2020-04-16,-234.5,291.5,57,1000,1000,1000
"Vermont",2020-04-16,-34,45,11,1000,1000,1000
"Virginia",2020-04-16,-587.5,711.5,124,1000,1000,1000
"Washington",2020-04-16,-343.5,473.5,130,1000,1000,1000
"West Virginia",2020-04-16,-252,266,14,1000,1000,1000
"Wisconsin",2020-04-16,-378.5,442.5,64,1000,1000,1000
"Wyoming",2020-04-16,-55,60,5,1000,1000,1000
"Alabama",2020-04-17,-418,472,54,1000,1000,1000
"Alaska",2020-04-17,-49.5,53.5,4,1000,1000,1000
"Arizona",2020-04-17,-672.5,745.5,73,1000,1000,1000
"Arkansas",2020-04-17,-313.5,327.5,14,1000,1000,1000
"California",2020-04-17,-2924,3494,570,1000,1000,1000
"Colorado",2020-04-17,-388.5,522.5,134,1000,1000,1000
"Connecticut",2020-04-17,-25,343,318,1000,1000,1000
"Delaware",2020-04-17,-78.5,108.5,30,1000,1000,1000
"Florida",2020-04-17,-1885,2460,575,1000,1000,1000
"Georgia",2020-04-17,-861,1147,286,1000,1000,1000
"Hawaii",2020-04-17,-115.5,125.5,10,1000,1000,1000
"Idaho",2020-04-17,-47.5,103.5,56,1000,1000,1000
"Illinois",2020-04-17,-713,1141,428,1000,1000,1000
"Indiana",2020-04-17,-524,764,240,1000,1000,1000
"Iowa",2020-04-17,-252.5,280.5,28,1000,1000,1000
"Kansas",2020-04-17,-243.5,262.5,19,1000,1000,1000
"Kentucky",2020-04-17,-461.5,488.5,27,1000,1000,1000
"Louisiana",2020-04-17,181.5,568.5,750,1000,1000,1000
"Maine",2020-04-17,-95.5,108.5,13,1000,1000,1000
"Maryland",2020-04-17,-323,499,176,1000,1000,1000
"Massachusetts",2020-04-17,-294,741,447,1000,1000,1000
"Michigan",2020-04-17,-243,933,690,1000,1000,1000
"Minnesota",2020-04-17,-414,431,17,1000,1000,1000
"Mississippi",2020-04-17,-327.5,385.5,58,1000,1000,1000
"Missouri",2020-04-17,-604.5,736.5,132,1000,1000,1000
"Montana",2020-04-17,-77.5,85.5,8,1000,1000,1000
"Nebraska",2020-04-17,-235,247,12,1000,1000,1000
"Nevada",2020-04-17,-378.5,429.5,51,1000,1000,1000
"New Hampshire",2020-04-17,-84,107,23,1000,1000,1000
"New Jersey",2020-04-17,1116,751,1867,1000,1000,1000
"New Mexico",2020-04-17,-168.5,186.5,18,1000,1000,1000
"New York",2020-04-17,1469,2262,3731,1000,1000,1000
"North Carolina",2020-04-17,-872,980,108,1000,1000,1000
"North Dakota",2020-04-17,-89,102,13,1000,1000,1000
"Ohio",2020-04-17,-1240.5,1382.5,142,1000,1000,1000
"Oklahoma",2020-04-17,-341.5,390.5,49,1000,1000,1000
